date,name,category,value
2021-12-01,Johnnie Blou,2021,143441
2022-01-01,Johnnie Blou,2022,166428
2022-02-01,Johnnie Blou,2022,168191
2022-03-01,Johnnie Blou,2022,180296
2022-04-01,Johnnie Blou,2022,117217
2022-05-01,Johnnie Blou,2022,110345
2022-06-01,Johnnie Blou,2022,55034
2022-07-01,Johnnie Blou,2022,108167
2022-07-01,Witblits,2022,57518
2022-08-01,Johnnie Blou,2022,58473
2022-08-01,Witblits,2022,126054
2022-09-01,Witblits,2022,170133
2022-10-01,Johnnie Blou,2022,30284
2022-10-01,Witblits,2022,39626
