collab_artist,number of times,main_artist
Swae Lee,2,Pop Smoke
Quavo,2,Pop Smoke
Lil Tjay,2,Pop Smoke
Rah Swish,1,Pop Smoke
Rick Ross,1,Pop Smoke
42 Dugg,1,Pop Smoke
Kanye West,1,Pop Smoke
Chris Brown,1,Pop Smoke
Rowdy Rebel,1,Pop Smoke
50 Cent,1,Pop Smoke
Lil Baby,1,Pop Smoke
The,1,Pop Smoke
Roddy Ricch,1,Pop Smoke
Pusha T,1,Pop Smoke
Dream,1,Pop Smoke
DaBaby,1,Pop Smoke
Tyga,1,Pop Smoke
KAROL G,1,Pop Smoke
Future,1,Pop Smoke
21 Savage,1,Pop Smoke
Dua Lipa,1,Pop Smoke
A Boogie Wit da Hoodie,1,Pop Smoke
